[11/08/22] [01:00:16] Emre Kurt | Adrenaline to id: 7
[11/08/22] [02:43:01] Emre Kurt | Heal to id: 7
[11/08/22] [02:44:33] Naqasake Komutan | Adrenaline to id: 7
[11/08/22] [02:46:20] Emre Kurt | Heal to id: 7
[11/08/22] [02:53:40] Naqasake Komutan | Adrenaline to id: 9
[11/08/22] [02:53:48] Naqasake Komutan | Adrenaline to id: 1
[11/08/22] [02:56:15] Jack Harris | Adrenaline to id: 1
[11/08/22] [02:57:28] Naqasake Komutan | Heal to id: 9
[11/08/22] [03:24:50] Naqasake Komutan | Adrenaline to id: 14
[11/08/22] [03:25:11] Naqasake Komutan | Adrenaline to id: 14
[11/08/22] [03:25:17] Naqasake Komutan | Heal to id: 14
[11/08/22] [03:29:05] Naqasake Komutan | Adrenaline to id: 14
[11/08/22] [03:29:58] Naqasake Komutan | Heal to id: 9
[11/08/22] [03:56:22] Naqasake Komutan | Adrenaline to id: 9
[11/08/22] [03:56:34] Naqasake Komutan | Heal to id: 9
[11/08/22] [15:42:21] Naqasake Komutan | Adrenaline to id: 9
[11/08/22] [16:01:14] Naqasake Komutan | Adrenaline to id: 9
[11/08/22] [16:01:29] Naqasake Komutan | Heal to id: 9
[11/08/22] [16:05:33] Naqasake Komutan | Adrenaline to id: 15
[11/08/22] [16:05:36] Naqasake Komutan | Adrenaline to id: 15
[11/08/22] [16:05:40] Naqasake Komutan | Heal to id: 15
[11/08/22] [16:05:44] Naqasake Komutan | Adrenaline to id: 15
[11/08/22] [16:05:59] Naqasake Komutan | Adrenaline to id: 15
[11/08/22] [16:06:03] Naqasake Komutan | Heal to id: 15
[11/08/22] [16:10:05] Naqasake Komutan | Adrenaline to id: 15
[11/08/22] [16:10:08] Naqasake Komutan | Heal to id: 15
[11/08/22] [16:49:17] Ahmet Tufan | Heal to id: 6
[11/08/22] [16:53:36] Antu Donmez | Adrenaline to id: 8
[11/08/22] [17:02:45] Naqasake Komutan | Adrenaline to id: 9
[11/08/22] [17:03:58] Ahmet Tufan | Adrenaline to id: 8
[11/08/22] [17:04:11] Ahmet Tufan | Adrenaline to id: 8
[11/08/22] [17:04:16] Ahmet Tufan | Heal to id: 8
[11/08/22] [17:14:01] Naqasake Komutan | Adrenaline to id: 8
[11/08/22] [17:14:21] Ahmet Tufan | Adrenaline to id: 8
[11/08/22] [17:14:29] Ahmet Tufan | Heal to id: 8
[11/08/22] [17:15:45] Mehmet Ekinci | Heal to id: 8
[11/08/22] [17:56:22] Jack Harris | Adrenaline to id: 3
[11/08/22] [17:56:32] Jack Harris | Adrenaline to id: 3
[11/08/22] [17:56:39] Jack Harris | Adrenaline to id: 3
