[07/08/22] [20:06:39] Antu Donmez - 2 | 2m | 2 
[11/08/22] [00:22:24] Fuat Kocaeli - 5 | 1m | -- 
[11/08/22] [00:27:15] Fuat Kocaeli - 6 | 10m | 55 
[11/08/22] [02:41:01] Naqasake Komutan - 7 | 99999m | Sanane amk 
[11/08/22] [02:57:03] Naqasake Komutan - 1 | 9999m | 12 
[11/08/22] [02:58:09] Naqasake Komutan - 14 | 99999m | 111222 
[11/08/22] [03:00:47] Naqasake Komutan - 14 | 0m | 0 
[11/08/22] [03:06:09] Naqasake Komutan - 14 | 5m | 55 
[11/08/22] [03:06:28] Naqasake Komutan - 14 | 0m | 0 
[11/08/22] [03:09:07] Naqasake Komutan - 14 | 5m |  
[11/08/22] [03:09:31] Naqasake Komutan - 14 | 9999m | 999 
[11/08/22] [03:19:42] Naqasake Komutan - 14 | 5m | 5 
[11/08/22] [03:20:53] Naqasake Komutan - 14 | 0m |  
[11/08/22] [03:21:02] Naqasake Komutan - 14 | 0m | 0 
[11/08/22] [03:36:18] Jack Harris - 1 | 1m | 1 
[11/08/22] [12:30:07] Naqasake Komutan - 9 | 999m |  
[11/08/22] [16:01:41] Naqasake Komutan - 15 | 999999999m | 99 
[11/08/22] [16:04:30] Naqasake Komutan - 15 | 0m |  
[11/08/22] [16:04:54] Naqasake Komutan - 15 | 0m |  
[11/08/22] [16:06:12] Naqasake Komutan - 15 | 0m | 0 
[11/08/22] [17:05:28] Naqasake Komutan - 3 | 999999m | 9999 
[11/08/22] [17:05:39] Naqasake Komutan - 3 | 99999m | 999 
[11/08/22] [17:05:53] Ahmet Tufan - 8 | 1m | deneme 
[11/08/22] [18:41:48] Antu Donmez - 12 | 60m | yarram 
[12/08/22] [12:11:13] Naqasake Komutan - 16 | 99999999m | 999 
[12/08/22] [12:17:11] Naqasake Komutan - 16 | 0m | 0 
[12/08/22] [13:53:10] Antu Donmez - 16 | 1m | 1 
[12/08/22] [13:57:29] Mehmet Ekinci - 3 | 5m | ceza verdi 
[12/08/22] [17:45:37] Abbas Devir - 31 | 1m | 1 
[12/08/22] [18:05:55] Naqasake Komutan - 17 | 9999m | 9999 
[12/08/22] [18:18:40] Abbas Devir - 18 | 1m | yarrak 
[12/08/22] [23:41:23] Ozgur Baba - 12 | 1m | ses 
[13/08/22] [00:18:57] Mehmet Ekinci - 12 | 1m | CEZA 
[13/08/22] [00:19:11] Mehmet Ekinci - 12 | 15m | CEZA YEDİM 
[13/08/22] [00:35:57] Fuat Kocaeli - 11 | 31m | 13 
[14/08/22] [20:22:06] Abbas Devir - 17 | 1m | 1 
[14/08/22] [20:25:56] Ozgur Baba - 12 | 1m | 1 
[14/08/22] [20:26:01] Abbas Devir - 12 | 1m | 1 
[14/08/22] [20:26:37] Abbas Devir - 12 | 1m | 1 
[14/08/22] [22:07:34] Naqasake Komutan - 9 | 0m | 0 
[15/08/22] [16:44:36] Antu Donmez - 22 | 1m | göt 
[16/08/22] [00:14:57] Abbas Devir - 11 | 111m | 1 
[16/08/22] [00:17:38] Fuat Kocaeli - 5 | 5m | 5 
[16/08/22] [01:55:51] Naqasake Komutan - 9 | 0m | 0 
[18/08/22] [03:53:52] Naqasake Komutan - 20 | 9999999999m | 99999999 
[18/08/22] [03:57:52] Naqasake Komutan - 24 | 9999999m | 9 
[19/08/22] [19:46:33] Fuat Kocaeli - 17 | 12m | kk 
[19/08/22] [19:47:12] Fuat Kocaeli - 17 | 1m | 2 
[19/08/22] [19:47:14] Abbas Devir - 17 | 60m | Rdm 
[20/08/22] [15:37:22] Noyan Cakiroglu - 1 | 9999999999m | silah  kaçak çılı 
[20/08/22] [15:41:48] Noyan Cakiroglu - 16 | 1m | erp 
[20/08/22] [15:42:47] Noyan Cakiroglu - 16 | 1m | erp 
[23/08/22] [09:36:23] Noyan Cakiroglu - 1 | 0m | 
[23/08/22] [12:52:47] Firat Donmez - 4 | 5m | yarragım 
[23/08/22] [12:55:51] Firat Donmez - 1 | 23m | 232 
[23/08/22] [13:14:30] Antu Donmez - 22 | 1m | w 
[23/08/22] [13:23:07] Antu Donmez - 22 | 30m | yarra ye 
[23/08/22] [13:23:12] Mert Diler - 2 | 2m | 2
[23/08/22] [13:23:27] Mert Diler - 2 | 10m | can sıkıntısı
[25/08/22] [22:57:22] Firat Donmez - 3 | 3m | :) 
[26/08/22] [00:01:42] Firat Donmez - 22 | 10m | DİNGİL 
[26/08/22] [21:47:56] Antu Donmez - 22 | 2m | s 
[27/08/22] [20:18:44] Mert Diler - 22 | 1m | can sıkıntısı 
[30/08/22] [15:54:20] Fuat Kocaeli - 22 | 1m | ddeneme 
