[09/08/22] [18:13:08] ID: 39117, BUY NAME: Jack Harris, PRICE: 2500000, VEHICLE NAME: Bmw3
[09/08/22] [19:00:27] ID: 38887, BUY NAME: Antu Donmez, PRICE: 6500000, VEHICLE NAME: M5F90
[09/08/22] [19:21:03] ID: 39118, BUY NAME: Antu Donmez, PRICE: 2500000, VEHICLE NAME: Bmw3
[09/08/22] [19:22:52] ID: 39099, BUY NAME: Jack Harris, PRICE: 600000, VEHICLE NAME: Focusrs
[09/08/22] [19:24:02] ID: 39175, BUY NAME: Faruk Devir, PRICE: 7500000, VEHICLE NAME: X5m
[09/08/22] [19:35:21] ID: 39074, BUY NAME: Firat Donmez, PRICE: 6500000, VEHICLE NAME: E63s
[09/08/22] [20:01:53] ID: 3850, BUY NAME: Jack Harris, PRICE: 140000, VEHICLE NAME: Benson
[09/08/22] [22:41:16] ID: 39129, BUY NAME: Antu Donmez, PRICE: 5500000, VEHICLE NAME: Panamera17turbo
[09/08/22] [23:02:10] ID: 39176, BUY NAME: Emre Kurt, PRICE: 7500000, VEHICLE NAME: X5m
[10/08/22] [14:42:42] ID: 39151, BUY NAME: Jack Harris, PRICE: 1500000, VEHICLE NAME: Gtr34
[10/08/22] [14:56:57] ID: 113, BUY NAME: Jack Harris, PRICE: 26990, VEHICLE NAME: Mesa3
[10/08/22] [21:36:26] ID: 1104, BUY NAME: Naqasake Komutan, PRICE: 3010000, VEHICLE NAME: Zentorno
[10/08/22] [23:29:14] ID: 252, BUY NAME: Ahmet Tufan, PRICE: 450000, VEHICLE NAME: BType
[10/08/22] [23:29:35] ID: 39075, BUY NAME: Ahmet Tufan, PRICE: 6500000, VEHICLE NAME: E63s
[11/08/22] [00:56:14] ID: 39170, BUY NAME: Emre Kurt, PRICE: 8000000, VEHICLE NAME: Amggt
[11/08/22] [00:59:29] ID: 39165, BUY NAME: Fuat Kocaeli, PRICE: 5000000, VEHICLE NAME: Audirs6tk
[11/08/22] [01:01:47] ID: 39119, BUY NAME: Emre Kurt, PRICE: 2500000, VEHICLE NAME: Bmw3
[11/08/22] [01:01:58] ID: 2520, BUY NAME: Emre Kurt, PRICE: 185000, VEHICLE NAME: Cheetah2
[11/08/22] [17:07:48] ID: 38932, BUY NAME: Mehmet Ekinci, PRICE: 7000000, VEHICLE NAME: S63
[11/08/22] [17:23:45] ID: 39130, BUY NAME: Naqasake Komutan, PRICE: 5500000, VEHICLE NAME: Panamera17turbo
[11/08/22] [17:32:44] ID: 39131, BUY NAME: Antu Donmez, PRICE: 5500000, VEHICLE NAME: Panamera17turbo
[11/08/22] [20:29:52] ID: 8937, BUY NAME: Mehmet Ekinci, PRICE: 394000, VEHICLE NAME: Rrocket
[12/08/22] [11:54:14] ID: 39132, BUY NAME: Mehmet Ekinci, PRICE: 5500000, VEHICLE NAME: Panamera17turbo
[12/08/22] [11:55:28] ID: 39140, BUY NAME: Mehmet Ekinci, PRICE: 12500000, VEHICLE NAME: Lp700
[12/08/22] [13:07:24] ID: 416, BUY NAME: Noyan Cakiroglu, PRICE: 5430, VEHICLE NAME: Buffalo
[12/08/22] [19:02:35] ID: 38933, BUY NAME: Abbas Devir, PRICE: 7000000, VEHICLE NAME: S63
[12/08/22] [19:03:24] ID: 39166, BUY NAME: Abbas Devir, PRICE: 5000000, VEHICLE NAME: Audirs6tk
[12/08/22] [19:24:05] ID: 39133, BUY NAME: Abbas Devir, PRICE: 5500000, VEHICLE NAME: Panamera17turbo
[12/08/22] [23:59:25] ID: 38934, BUY NAME: Shybw Lone, PRICE: 7000000, VEHICLE NAME: S63
[13/08/22] [00:09:08] ID: 2557, BUY NAME: Shybw Lone, PRICE: 220000, VEHICLE NAME: Superd
[13/08/22] [18:21:47] ID: 5762, BUY NAME: Emre Kurt, PRICE: 325000, VEHICLE NAME: Sheava
[13/08/22] [18:23:04] ID: 8846, BUY NAME: Emre Kurt, PRICE: 210000, VEHICLE NAME: Locust
[13/08/22] [18:25:45] ID: 1057, BUY NAME: Emre Kurt, PRICE: 720000, VEHICLE NAME: Penetrator
[14/08/22] [11:12:02] ID: 8487, BUY NAME: Mehmet Ekinci, PRICE: 490000, VEHICLE NAME: Neon
[14/08/22] [22:23:08] ID: 1293, BUY NAME: Shybw Lone, PRICE: 310000, VEHICLE NAME: Windsor2
[14/08/22] [22:53:43] ID: 38697, BUY NAME: Shybw Lone, PRICE: 250000, VEHICLE NAME: Yosemite2
[15/08/22] [03:25:07] ID: 171, BUY NAME: Jack Harris, PRICE: 37880, VEHICLE NAME: Rocoto
[22/08/22] [01:21:54] ID: 253, BUY NAME: Naqasake Komutan, PRICE: 380000, VEHICLE NAME: BType2
[22/08/22] [01:22:32] ID: 252, BUY NAME: Naqasake Komutan, PRICE: 450000, VEHICLE NAME: BType
[22/08/22] [01:23:38] ID: 38817, BUY NAME: Naqasake Komutan, PRICE: 5700000, VEHICLE NAME: Tyrus
[22/08/22] [02:01:54] ID: 5687, BUY NAME: Jack Harris, PRICE: 29510, VEHICLE NAME: Z190
[23/08/22] [12:45:53] ID: 38685, BUY NAME: Jack Harris, PRICE: 8850000, VEHICLE NAME: Volatus
[24/08/22] [23:32:42] ID: 438, BUY NAME: Jack Marris, PRICE: 13530, VEHICLE NAME: Bati
[25/08/22] [20:48:01] ID: 6672, BUY NAME: Jack Harris, PRICE: 19690, VEHICLE NAME: Vortex
[25/08/22] [22:16:31] ID: 3141, BUY NAME: Jack Harris, PRICE: 13530, VEHICLE NAME: Bati
[02/09/22] [00:19:34] ID: 39197, BUY NAME: Jack Harris, PRICE: 2000000, VEHICLE NAME: bmwm8
[02/09/22] [02:20:23] ID: 39198, BUY NAME: Antu Donmez, PRICE: 2000000, VEHICLE NAME: BMWM8
[02/09/22] [14:10:27] ID: 38686, BUY NAME: Mert Diler, PRICE: 8850000, VEHICLE NAME: Volatus
