[06/08/22] [22:55:35] Antu Donmez (66925) to Jack Harriser (66924) count $100
[07/08/22] [19:53:16] Mert Diler (8) to Antu Donmez (1) count $500
[07/08/22] [19:54:03] Mert Diler (8) to Antu Donmez (1) count $500
[07/08/22] [20:11:19] Mert Diler (8) to Jack Harriq (3) count $500
[07/08/22] [20:11:34] Jack Harriq (3) to Mert Diler (8) count $10
[07/08/22] [20:12:29] Mert Diler (8) to Jack Harriq (3) count $500
[11/08/22] [16:25:07] Naqasake Komutan (9) to Mehmet Ekinci (15) count $200000000
[11/08/22] [16:25:20] Naqasake Komutan (9) to Mehmet Ekinci (15) count $500000000
[11/08/22] [16:25:39] Naqasake Komutan (9) to Mehmet Ekinci (15) count $500000031
[14/08/22] [19:55:00] Mehmet Ekinci (8) to Ozgur Baba (12) count $111
[19/08/22] [00:33:34] Naqasake Komutan (9) to Asena Cakiiroglu (20) count $100000000
[19/08/22] [00:33:57] Naqasake Komutan (9) to Asena Cakiiroglu (20) count $999999999
[19/08/22] [00:34:06] Naqasake Komutan (9) to Asena Cakiiroglu (20) count $999999999
[25/08/22] [23:15:36] Firat Donmez (2) to Antu Donmez (3) count $2123
